recipe_name,ingredients,category,preparation,texture_tags
Well-mashed Rice,"rice, expressed breast milk",Main,Boil and mash,smooth_puree
Dhal Puree,"red lentils, turmeric, water",Main,Boil and blend,smooth_puree
Mashed Pumpkin,"pumpkin, coconut milk",Vegetable,Steam and mash,smooth_puree
Carrot Mash,"carrot, water",Vegetable,Boil and mash,smooth_puree
Papaya Puree,"ripe papaya",Fruit,Mash with fork,smooth_puree
Banana Mash,"ripe ambul banana",Fruit,Mash with fork,smooth_puree
Avocado Cream,"ripe avocado, breast milk",Fruit,Mash,smooth_puree
Rice and Dhal Mix,"rice, red lentils, carrot",Main,Boil together and mash,well_mashed
Sprats Powder Rice,"rice, dried sprats powder, pumpkin",Main,Boil and mash,well_mashed
Fish and Rice Mash,"rice, thalapath fish, gotukola",Main,Boil and mash,well_mashed
Sweet Potato Mash,"sweet potato, coconut milk",Vegetable,Boil and mash,well_mashed
Gotukola Rice,"rice, gotukola, coconut milk",Main,Boil and finely chop,well_mashed
Chicken Puree,"chicken breast, potato, carrot",Main,Boil and blend,smooth_puree
Egg Yolk Mash,"boiled egg yolk, rice",Main,Mash with rice,well_mashed
Mashed Jak,"ripe jakfruit, coconut milk",Main,Boil and mash,coarsely_chopped
Breadfruit Mash,"breadfruit, turmeric, coconut milk",Main,Boil and mash,coarsely_chopped
Soft Hopper Center,"rice flour, coconut milk",Snack,Steam,finger_food
Bread and Butter,"white bread, unsalted butter",Snack,Remove crusts,finger_food
Boiled Potato Cubes,"potato, turmeric",Snack,Boil and cube,finger_food
Vegetable Soup,"carrot, leeks, potato, beans",Soup,Boil and strain,liquid
Kanda (Rice Porridge),"rice, red rice, coconut milk",Main,Boil until soft,smooth_puree
Mung Bean Mash,"green gram, rice",Main,Boil and mash,well_mashed
Thabbila (King Coconut),"king coconut water",Drink,Fresh,liquid
Steamed Apple,"apple, cinnamon",Fruit,Steam and puree,smooth_puree
Beetroot Mash,"beetroot, potato",Vegetable,Boil and mash,well_mashed
Liver and Rice,"chicken liver, rice, pumpkin",Main,Boil and mash,well_mashed
Curd and Banana,"curd, ripe banana",Snack,Mix and mash,well_mashed
Yoghurt,"plain yoghurt",Snack,Serve chilled,smooth_puree
Scrambled Egg,"egg, coconut milk",Main,Soft scramble,well_mashed
Milk Rice (Kiribath),"white rice, coconut milk",Main,Boil soft,well_mashed
Vegetable Omelet,"egg, finely chopped carrots, leeks",Main,Pan fry soft,coarsely_chopped
Red Rice and Fish,"red rice, tuna, beans",Main,Boil and chop,coarsely_chopped
Dhal and Spinach,"red lentils, spinach, coconut milk",Vegetable,Boil,coarsely_chopped
Beef and Potato Stew,"beef mince, potato, carrot",Main,Slow cook and mash,coarsely_chopped
Chickpea Mash,"boiled chickpeas, coconut",Snack,Mash well,coarsely_chopped
Semolina Porridge,"semolina, milk, cardamom",Main,Boil,smooth_puree
Oats and Banana,"oats, milk, banana",Main,Boil,smooth_puree
Stewed Pears,"pears, water",Fruit,Simmer,smooth_puree
Minced Chicken Pasta,"pasta, chicken mince, tomato",Main,Boil soft,coarsely_chopped
Tofu and Veggie Mix,"soft tofu, beans, carrot",Main,Steam,coarsely_chopped
String Hopper Mash,"rice string hoppers, dhal curry",Main,Mash together,well_mashed
Mashed Beans,"green beans, coconut milk",Vegetable,Boil and mash,well_mashed
Sago Pudding,"sago, coconut milk",Snack,Boil,smooth_puree
Fish Cutlet (Baked),"fish, potato, breadcrumbs",Snack,Bake soft,finger_food
Scraped Coconut Rice,"rice, fresh coconut",Main,Mix,coarsely_chopped
Pumpkin Soup,"pumpkin, onion, garlic",Soup,Blend,smooth_puree
Papaya Cubes,"ripe papaya",Fruit,Slice,finger_food
Mango Puree,"ripe mango",Fruit,Blend,smooth_puree
Soft Roti Pieces,"wheat flour, coconut, water",Main,Tear into bits,finger_food
Cheese and Bread,"bread, cheddar cheese",Snack,Melt lightly,finger_food